Company_id;Reference_date_month;Product;Sub_product;TYPE_ID_Coverage_GSM;TYPE_ID_Coverage_UMTS;TYPE_ID_Coverage_LTE;CNT_EMPLOYEE;Sector;Sub_sector;Turnover;Revenue_Scale;ZIP;Data_usage;Voice_usage;Monthly_expense;N_lines
469;2019-09-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;78;63;666;10900000;5.000.001 - 25.000.000;13088;1.73929977416992;266.816666;129.636939;2
469;2019-10-01 00:00:00;FB;FB L 2.0;indoor;indoor;indoor;78;63;666;10900000;5.000.001 - 25.000.000;13088;2.32428359985352;612.666667;110.744821;1
469;2019-10-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;78;63;666;10900000;5.000.001 - 25.000.000;13088;6.54372215270996;158.766667;80.934229;2
469;2019-11-01 00:00:00;FB;FB L 2.0;indoor;indoor;indoor;78;63;666;10900000;5.000.001 - 25.000.000;13088;0.943772315979004;542.083333;61.538372;1
469;2019-11-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;78;63;666;10900000;5.000.001 - 25.000.000;13088;0.814804077148438;287.783334;81.805616;2
478;2019-09-01 00:00:00;FB;FB M 2.0;indoor;outdoor;outdoor;85;33;379;14318081;5.000.001 - 25.000.000;85435;3.61033725738525;882.766667;113.830128;3
478;2019-09-01 00:00:00;FB;FB S;indoor;outdoor;outdoor;85;33;379;14318081;5.000.001 - 25.000.000;85435;0.815349578857422;92.416667;26.939598;1
478;2019-10-01 00:00:00;FB;FB M 2.0;indoor;outdoor;outdoor;85;33;379;14318081;5.000.001 - 25.000.000;85435;4.02231597900391;1083.483333;115.000871;3
478;2019-10-01 00:00:00;FB;FB S;indoor;outdoor;outdoor;85;33;379;14318081;5.000.001 - 25.000.000;85435;0.540847778320313;172.566667;26.679035;1
478;2019-11-01 00:00:00;FB;FB M 2.0;indoor;outdoor;outdoor;85;33;379;14318081;5.000.001 - 25.000.000;85435;1.76701259613037;1020.433333;113.621892;3
478;2019-11-01 00:00:00;FB;FB S;indoor;outdoor;outdoor;85;33;379;14318081;5.000.001 - 25.000.000;85435;0.647408485412598;108.116667;26.909415;1
541;2019-09-01 00:00:00;FB;FB M 2.0;indoor;outdoor;indoor;16;40;420;2000000;500.001 - 2.500.000;22525;16.90052795410154;3635.200002;330.53136900000004;26
541;2019-10-01 00:00:00;FB;FB M 2.0;indoor;outdoor;indoor;16;40;420;2000000;500.001 - 2.500.000;22525;15.662758827209425;4123.9166669999995;331.180121;26
541;2019-11-01 00:00:00;FB;FB M 2.0;indoor;outdoor;indoor;16;40;420;2000000;500.001 - 2.500.000;22525;19.28615283966067;3519.516666;328.892002;26
696;2019-09-01 00:00:00;FB;FB S 2.0;indoor;indoor;indoor;54;72;718;13700000;5.000.001 - 25.000.000;33415;0.0402603149414063;477.216667;26.97489;1
696;2019-10-01 00:00:00;FB;FB S 2.0;indoor;indoor;indoor;54;72;718;13700000;5.000.001 - 25.000.000;33415;0.0282716751098633;390.25;26.726562;1
696;2019-11-01 00:00:00;FB;FB S 2.0;indoor;indoor;indoor;54;72;718;13700000;5.000.001 - 25.000.000;33415;0.0500869750976563;369.816667;26.888207;1
716;2019-09-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;101;17;165;35044000;25.000.001 - 50.000.000;32791;31.625999450683608;8396.099999;785.401377;56
716;2019-10-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;101;17;165;35044000;25.000.001 - 50.000.000;32791;36.65829563140872;8554.283334;758.146301;56
716;2019-11-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;101;17;165;35044000;25.000.001 - 50.000.000;32791;48.67282295227048;9870.583333;739.9971720000001;56
1034;2019-09-01 00:00:00;FB;FB S;indoor;indoor;indoor;440;74;731;;;50354;0.416721343994141;52.95;58.721599;4
1034;2019-10-01 00:00:00;FB;FB S;indoor;indoor;indoor;440;74;731;;;50354;0.146382331848145;112.35;71.855821;4
1034;2019-11-01 00:00:00;FB;FB S;indoor;indoor;indoor;440;74;731;;;50354;0.163261413574219;121.183333;72.12936;4
1881;2019-09-01 00:00:00;FB;FB L 2.0;indoor;outdoor;indoor;1262;27;325;360000000;50.000.001 - 500.000.000;31855;3.55220317840576;0.0;40.0002;1
1881;2019-10-01 00:00:00;FB;FB L 2.0;indoor;outdoor;indoor;1262;27;325;360000000;50.000.001 - 500.000.000;31855;13.6631469726563;0.0;40.0002;1
1881;2019-11-01 00:00:00;FB;FB L 2.0;indoor;outdoor;indoor;1262;27;325;360000000;50.000.001 - 500.000.000;31855;16.8009662628174;0.0;40.0002;1
2112;2019-09-01 00:00:00;FB;FB M 2.0;outdoor;outdoor;outdoor;1282;64;668;77223000;50.000.001 - 500.000.000;14473;0.0;0.0;48.0002;2
2112;2019-10-01 00:00:00;FB;FB M 2.0;outdoor;outdoor;outdoor;1282;64;668;77223000;50.000.001 - 500.000.000;14473;0.0;0.0;48.0002;2
2112;2019-11-01 00:00:00;FB;FB M 2.0;outdoor;outdoor;outdoor;1282;64;668;77223000;50.000.001 - 500.000.000;14473;0.0;0.0;48.0002;2
2130;2019-09-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;21;45;553;;;14473;2.29608154296875;467.483333;61.962641;2
2130;2019-10-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;21;45;553;;;14473;5.60757160186768;491.533333;63.273859;2
2130;2019-11-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;21;45;553;;;14473;1.8743143081665;511.216666;61.533401;2
2330;2019-09-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;250;74;731;;;82110;9.65540504455566;896.049999;98.715926;3
2330;2019-10-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;250;74;731;;;82110;17.1036863327026;1262.666667;100.056445;3
2330;2019-11-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;250;74;731;;;82110;7.23031616210938;695.833334;97.714429;3
2466;2019-09-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;80;55;611;4150000;2.500.001 - 5.000.000;82256;0.378085136413574;269.416667;21.814244;1
2466;2019-09-01 00:00:00;FB;FB S;indoor;indoor;indoor;80;55;611;4150000;2.500.001 - 5.000.000;82256;1.21477603912354;311.15;60.795597;3
2466;2019-09-01 00:00:00;FB;FB S 2.0;indoor;indoor;indoor;80;55;611;4150000;2.500.001 - 5.000.000;82256;21.802661895752;6778.633332;517.020834;26
2466;2019-10-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;80;55;611;4150000;2.500.001 - 5.000.000;82256;0.133623123168945;107.533333;21.49732;1
2466;2019-10-01 00:00:00;FB;FB S;indoor;indoor;indoor;80;55;611;4150000;2.500.001 - 5.000.000;82256;0.15939998626709;159.25;60.876525;3
2466;2019-10-01 00:00:00;FB;FB S 2.0;indoor;indoor;indoor;80;55;611;4150000;2.500.001 - 5.000.000;82256;23.6479806900024;7130.650002;518.187887;26
2466;2019-11-01 00:00:00;FB;FB M 2.0;indoor;indoor;indoor;80;55;611;4150000;2.500.001 - 5.000.000;82256;0.388105392456055;202.233333;22.197954;1
2466;2019-11-01 00:00:00;FB;FB S;indoor;indoor;indoor;80;55;611;4150000;2.500.001 - 5.000.000;82256;0.170093536376953;71.933333;60.597902;3
