City;Customer_Flag;Revenue_Scale;Revenue;Sector;Legal_Form_Code;Employee_Scale;TYPE_ID_Coverage_GSM;TYPE_ID_Coverage_UMTS;TYPE_ID_Coverage_LTE;CNT_EMPLOYEE_OLD;CNT_EMPLOYEE;CNT_CB_DENSITY;CNT_CB_MOB_DENSITY;CNT_CB_FN_DENSITY;Mobile_potential_old;Mobile_potential
Schwerin;0;500.001 - 2.500.000;1500000;85;14;20 - 49;291;290;291;21;22;;;;1927.4532050914797;2396.1288199816704
Pfedelbach;0;2.500.001 - 5.000.000;2793331;25;14;10 - 19;290;292;290;16;16;50;50;0;1741.2985639138801;2505.8397491531728
Bonn;0;bis 100.000;100000;75;4;20 - 49;291;290;291;41;45;390;387;22;1480.05076275948;1603.4130446211684
Hamburg;0;2.500.001 - 5.000.000;4000000;47;14;20 - 49;291;291;291;20;21;1092;847;392;2816.5298683823994;3615.7166788235945
Aachen;0;;;63;14;20 - 49;291;291;290;27;29;371;367;15;2009.01058997148;2699.4417057076944
Paderborn;0;5.000.001 - 25.000.000;8089070;32;3;20 - 49;291;290;291;47;49;89;84;7;2070.7041718042797;2530.233343713349
Bielefeld;0;bis 100.000;36600;55;14;20 - 49;291;290;291;21;25;210;202;18;1449.8250859714801;1942.5713660693896
Rheinsberg;0;500.001 - 2.500.000;680000;9;31;10 - 19;291;290;292;13;15;8;7;2;1338.7741971766802;2281.1376180021834
Bühl;0;2.500.001 - 5.000.000;3750000;43;4;20 - 49;291;290;290;21;24;;;;1996.90321015308;2349.6068307556247
Düren;0;;;62;14;20 - 49;291;291;290;20;21;103;101;3;1998.6300821614798;2124.3025978901755
Norderstedt;0;5.000.001 - 25.000.000;7900000;42;14;20 - 49;291;291;291;26;27;260;232;51;2098.6223747530794;2145.0611337332766
Hamburg;0;;;42;14;20 - 49;291;290;291;20;21;;;;1962.1703412994798;2146.705331092401
Böttingen;0;500.001 - 2.500.000;1500000;24;4;10 - 19;291;292;292;10;11;41;41;1;1476.7754656726802;1558.8586058985309
Maintal;0;;;83;28;20 - 49;291;290;291;20;23;472;462;32;1950.699322028279;2264.9375456395746
Dortmund;0;100.001 - 250.000;162072;25;14;10 - 19;291;290;291;18;19;294;288;21;1522.3202046514803;1807.939429785437
Stralsund;0;2.500.001 - 5.000.000;4200000;47;14;20 - 49;291;290;291;20;21;49;47;7;2766.04494824148;3507.9468946962247
Hamburg;0;50.000.001 - 500.000.000;92315607;42;3;20 - 49;291;291;291;35;36;1164;928;401;2118.1257796799996;2730.581819975828
Stuttgart;0;2.500.001 - 5.000.000;3500000;73;14;20 - 49;291;291;291;39;42;1153;1062;128;2225.1872908043997;3070.7996053408137
Leverkusen;0;500.001 - 2.500.000;705000;43;4;10 - 19;291;291;291;11;11;522;519;14;1368.70145577948;1562.3682730756314
Köln;0;500.001 - 2.500.000;1600000;42;11;10 - 19;291;290;291;11;16;1019;1005;44;1649.9631226487995;2643.975276050386
Hamburg;0;500.001 - 2.500.000;2150000;60;14;20 - 49;291;291;291;31;35;1712;1313;642;1902.2914664315992;2775.192044478801
Mannheim;0;500.001 - 2.500.000;1300000;12;14;20 - 49;291;290;291;24;25;553;541;38;1865.1345659722792;2534.6227863942595
Walldorf;0;2.500.001 - 5.000.000;3800000;61;13;20 - 49;291;290;290;32;34;205;205;4;2116.4740740610796;2509.774177413811
Swisttal;0;;;40;20;10 - 19;291;291;291;19;20;174;172;6;2739.9178079782796;3284.459271664435
Doberschütz;0;5.000.001 - 25.000.000;7300000;41;31;20 - 49;291;291;291;28;29;34;34;0;1998.00030295548;2951.329046574447
Troisdorf;0;;;83;28;10 - 19;291;291;291;15;15;469;465;28;1589.7020741362787;2033.3243127599058
Starnberg;0;500.001 - 2.500.000;1500000;40;14;10 - 19;291;291;291;12;13;117;115;5;1824.4695651142795;1890.6985725210463
Ginsheim-Gustavsburg;0;2.500.001 - 5.000.000;3000000;24;14;20 - 49;291;291;291;29;32;375;364;23;2053.8944083522797;2595.551138831699
